1,4,0,0,-1,1,1,2
2,6,0,0,0,2,0.70711,2
2,7,0,1,0,2,0.40825,-4.4409e-16
3,6,1,0,0,2,0.70711,-4
4,1,0,0,1,-1,1,2
4,8,0,0,1,3,0.40825,6
4,9,0,1,1,3,0.20412,-8.8818e-16
5,8,1,0,1,3,0.28868,-12
6,2,0,0,2,0,0.70711,2
6,3,0,1,2,0,0.70711,-4
6,10,0,0,2,4,0.14434,24
6,11,0,1,2,4,0.06455,-3.5527e-15
7,2,1,0,2,0,0.40825,-4.4409e-16
7,10,1,0,2,4,0.083333,-48
8,4,0,0,3,1,0.40825,6
8,5,0,1,3,1,0.28868,-12
8,12,0,0,3,5,0.037268,120
8,13,0,1,3,5,0.015215,-2.1316e-14
9,4,1,0,3,1,0.20412,-8.8818e-16
9,12,1,0,3,5,0.018634,-240
10,6,0,0,4,2,0.14434,24
10,7,0,1,4,2,0.083333,-48
11,6,1,0,4,2,0.06455,-3.5527e-15
12,8,0,0,5,3,0.037268,120
12,9,0,1,5,3,0.018634,-240
13,8,1,0,5,3,0.015215,-2.1316e-14
